ID,Duration,Start,End,Quantity,Product
226,6.65,2016-05-17 13:13:08.710,2016-05-17 19:52:25.620,35000.0,FF025450
227,12.11,2016-05-17 19:52:33.203,2016-05-18 07:58:53.807,70000.0,FF035105
228,6.03,2016-05-18 08:15:49.340,2016-05-18 14:17:38.670,35000.0,FF025305
229,11.51,2016-05-18 14:46:06.927,2016-05-19 02:16:26.797,70000.0,FF025205
230,7.08,2016-05-19 02:43:40.833,2016-05-19 09:48:22.683,40000.0,FF029101
231,11.97,2016-05-19 10:12:42.767,2016-05-19 22:11:11.090,60000.0,FF044101
232,5.36,2016-05-19 22:11:14.720,2016-05-20 03:32:32.997,28000.0,FF025450
233,12.75,2016-05-20 03:57:52.960,2016-05-20 16:43:08.673,55000.0,FF027401
234,12.58,2016-05-20 19:06:17.540,2016-05-21 07:41:22.777,40000.0,FF027206
235,34.93,2016-05-21 08:02:42.940,2016-05-22 18:58:17.130,95000.0,FF049386
236,7.15,2016-05-23 11:41:44.060,2016-05-23 18:50:40.107,40000.0,FF082005
237,8.37,2016-05-23 18:57:18.450,2016-05-24 03:19:28.313,40000.0,FF044001
238,6.83,2016-05-24 03:19:31.760,2016-05-24 10:09:27.920,35000.0,FF025450
239,5.28,2016-05-24 10:22:44.380,2016-05-24 15:39:32.517,30000.0,FF029101
240,10.47,2016-05-24 16:23:21.463,2016-05-25 02:51:25.373,35000.0,FF036103
241,2.9,2016-05-25 02:51:28.690,2016-05-25 05:45:15.990,30000.0,FF012201
242,5.7,2016-05-25 05:45:19.153,2016-05-25 11:27:17.830,30000.0,FF145420
243,7.76,2016-05-25 11:56:05.710,2016-05-25 19:41:33.830,40000.0,FF036102
244,6.71,2016-05-25 19:41:38.157,2016-05-26 02:24:07.057,35000.0,FF011501
245,11.24,2016-05-26 02:47:13.323,2016-05-26 14:01:45.293,55000.0,FF044301
246,6.36,2016-05-26 14:01:53.173,2016-05-26 20:23:34.023,35000.0,FF025450
247,7.03,2016-05-26 20:23:37.970,2016-05-27 03:25:23.427,35000.0,FF144220
248,9.39,2016-05-27 18:28:50.160,2016-05-28 03:52:17.060,30000.0,FF174936
249,23.46,2016-05-28 04:32:04.440,2016-05-29 03:59:56.557,75000.0,FF049386
250,6.41,2016-05-30 10:15:52.880,2016-05-30 16:40:29.747,35000.0,FF029201
251,5.69,2016-05-30 16:52:43.250,2016-05-30 22:33:49.720,35000.0,FF025205
252,8.89,2016-05-30 22:33:52.883,2016-05-31 07:27:30.147,35000.0,FF042201
253,6.18,2016-05-31 07:47:41.213,2016-05-31 13:58:38.740,35000.0,FF025201
254,5.74,2016-05-31 14:19:51.653,2016-05-31 20:04:17.910,35000.0,FF025315
255,11.69,2016-05-31 20:04:21.443,2016-06-01 07:46:02.310,70000.0,FF035105
256,5.99,2016-06-01 18:20:56.057,2016-06-02 00:20:14.160,35000.0,FF025205
257,6.63,2016-06-02 00:20:19.193,2016-06-02 06:58:07.033,35000.0,FF025450
258,8.78,2016-06-02 07:25:51.097,2016-06-02 16:12:48.233,40000.0,FF027401
259,5.78,2016-06-02 18:10:59.263,2016-06-02 23:57:31.303,35000.0,FF125220
260,6.44,2016-06-02 23:57:35.397,2016-06-03 06:24:13.810,35000.0,FF029001
261,6.24,2016-06-03 06:49:59.633,2016-06-03 13:04:32.470,35000.0,FF025205
262,7.68,2016-06-03 13:12:37.267,2016-06-03 20:53:26.920,35000.0,FF027401
263,20.15,2016-06-03 23:13:37.270,2016-06-04 19:22:43.920,50000.0,FF049360
264,17.11,2016-06-04 19:46:40.627,2016-06-05 12:53:25.980,50000.0,FF049386
265,7.07,2016-06-05 22:22:59.660,2016-06-06 05:27:24.133,35000.0,FF044001
266,6.0,2016-06-06 05:50:51.800,2016-06-06 11:50:44.300,35000.0,FF082005
267,6.84,2016-06-06 12:13:21.080,2016-06-06 19:03:34.877,35000.0,FF025450
268,7.44,2016-06-06 19:03:39.037,2016-06-07 02:30:02.797,35000.0,FF044001
269,6.64,2016-06-07 02:30:06.067,2016-06-07 09:08:39.043,35000.0,FF029001
270,8.2,2016-06-07 09:19:00.923,2016-06-07 17:30:47.860,40000.0,FF036110
271,9.02,2016-06-07 17:54:59.507,2016-06-08 02:56:03.643,35000.0,FF036103
272,7.42,2016-06-09 15:58:19.727,2016-06-09 23:23:16.437,35000.0,FF044101
273,6.01,2016-06-09 23:23:23.603,2016-06-10 05:23:42.200,35000.0,FF145300
274,14.13,2016-06-10 05:48:27.673,2016-06-10 19:56:01.243,35000.0,FF036103
275,6.54,2016-06-10 19:56:05.860,2016-06-11 02:28:39.520,35000.0,FF025450
276,47.55,2016-06-11 04:30:08.477,2016-06-13 04:03:13.333,45000.0,FF174906
277,25.75,2016-06-11 12:17:00.560,2016-06-12 14:01:43.127,55000.0,FF049386
278,7.29,2016-06-13 12:41:37.310,2016-06-13 19:59:15.340,35000.0,FF145300
279,10.02,2016-06-13 19:59:19.997,2016-06-14 06:00:47.557,50000.0,FF036110
280,7.27,2016-06-14 06:44:23.943,2016-06-14 14:00:51.767,35000.0,FF012201
281,10.16,2016-06-14 14:47:07.867,2016-06-15 00:56:49.040,50000.0,FF036102
282,5.79,2016-06-15 00:56:52.320,2016-06-15 06:44:15.567,35000.0,FF025205
283,9.41,2016-06-15 07:33:07.040,2016-06-15 16:57:44.670,35000.0,FF014202
284,6.56,2016-06-15 17:39:45.713,2016-06-16 00:13:31.633,35000.0,FF029201
285,5.83,2016-06-16 00:13:35.543,2016-06-16 06:03:31.260,35000.0,FF025305
286,6.74,2016-06-16 06:40:45.220,2016-06-16 13:24:55.420,35000.0,FF025205
287,11.11,2016-06-16 13:34:43.670,2016-06-17 00:41:09.703,60000.0,FF144220
288,6.51,2016-06-17 01:02:53.757,2016-06-17 07:33:19.920,35000.0,FF025450
289,8.92,2016-06-17 08:13:16.970,2016-06-17 17:08:18.770,40000.0,FF027401
290,21.6,2016-06-17 20:12:38.873,2016-06-18 17:48:25.137,60000.0,FF174906
291,19.99,2016-06-18 18:04:41.353,2016-06-19 14:04:17.507,35000.0,FF174936
292,6.45,2016-06-20 00:00:55.213,2016-06-20 06:27:39.957,35000.0,FF029101
293,6.23,2016-06-20 06:49:44.010,2016-06-20 13:03:41.210,35000.0,FF025201
294,6.7,2016-06-20 13:11:14.450,2016-06-20 19:53:05.457,35000.0,FF145420
295,5.87,2016-06-20 19:53:12.050,2016-06-21 01:45:32.677,35000.0,FF035105
296,5.9,2016-06-21 01:45:42.530,2016-06-21 07:39:56.633,35000.0,FF025305
297,7.49,2016-06-21 08:00:22.793,2016-06-21 15:29:53.087,35000.0,FF036103
298,6.22,2016-06-21 17:47:48.640,2016-06-22 00:01:06.900,35000.0,FF125220
299,6.91,2016-06-22 00:01:10.977,2016-06-22 06:55:33.700,35000.0,FF044001
300,6.96,2016-06-22 07:18:42.093,2016-06-22 14:16:15.053,35000.0,FF044301
301,6.95,2016-06-22 14:24:13.513,2016-06-22 21:21:08.730,40000.0,FF025001
302,6.95,2016-06-23 15:14:26.877,2016-06-23 22:11:09.017,40000.0,FF082005
